UserID,YearMonth,TotalIncome,TotalSpending,Investment,Savings,Age,Income,JobType,RiskTolerance
1,2023-06,0.0,334.53,334.53,-334.53,58,176867,Salaried,High
1,2023-08,0.0,810.83,0.0,-810.83,58,176867,Salaried,High
1,2024-01,0.0,1202.17,0.0,-1202.17,58,176867,Salaried,High
1,2024-05,0.0,219.63,0.0,-219.63,58,176867,Salaried,High
2,2023-07,441.26,0.0,0.0,441.26,62,149879,Salaried,Low
2,2023-11,0.0,176.38,0.0,-176.38,62,149879,Salaried,Low
2,2024-05,0.0,941.12,0.0,-941.12,62,149879,Salaried,Low
2,2024-06,0.0,429.46,0.0,-429.46,62,149879,Salaried,Low
2,2025-01,0.0,265.7,0.0,-265.7,62,149879,Salaried,Low
3,2023-09,0.0,105.78,0.0,-105.78,58,167337,Freelancer,High
3,2024-04,0.0,593.25,0.0,-593.25,58,167337,Freelancer,High
3,2024-11,0.0,229.47,0.0,-229.47,58,167337,Freelancer,High
4,2023-11,0.0,803.45,803.45,-803.45,30,117498,Investor,Low
4,2023-12,0.0,306.72,0.0,-306.72,30,117498,Investor,Low
4,2024-01,0.0,864.01,0.0,-864.01,30,117498,Investor,Low
4,2024-04,521.36,0.0,0.0,521.36,30,117498,Investor,Low
4,2024-07,0.0,315.84,0.0,-315.84,30,117498,Investor,Low
4,2025-02,0.0,126.12,126.12,-126.12,30,117498,Investor,Low
5,2023-07,0.0,271.89,0.0,-271.89,55,46023,Freelancer,Medium
5,2024-02,0.0,263.14,0.0,-263.14,55,46023,Freelancer,Medium
5,2024-09,252.69,0.0,0.0,252.69,55,46023,Freelancer,Medium
5,2024-11,0.0,490.88,0.0,-490.88,55,46023,Freelancer,Medium
5,2025-03,0.0,400.69,0.0,-400.69,55,46023,Freelancer,Medium
6,2023-06,0.0,145.53,0.0,-145.53,21,89735,Investor,Medium
6,2024-05,462.85,413.98,0.0,48.870000000000005,21,89735,Investor,Medium
6,2024-07,0.0,1010.85,0.0,-1010.85,21,89735,Investor,Medium
6,2024-10,0.0,557.13,0.0,-557.13,21,89735,Investor,Medium
6,2025-01,0.0,857.59,0.0,-857.59,21,89735,Investor,Medium
